Roll,Name,Email
1401CB01,Mansi,Mansi@mycollege.in
1401CB02,Tushar,Tushar@mycollege.in
1401CB03,Abhinav,Abhinav@mycollege.in
1401CB04,Shivangi,Shivangi@mycollege.in
1401CB05,Ashutosh,Ashutosh@mycollege.in
1401CB06,Adarsh,Adarsh@mycollege.in
1401CB07,Divya,Divya@mycollege.in
1401CB08,Piyush,Piyush@mycollege.in
1401CB09,Pragya,Pragya@mycollege.in
1401CB10,Ajay,Ajay@mycollege.in
1401CB11,Akanksha,Akanksha@mycollege.in
1401CB12,Neeraj,Neeraj@mycollege.in
1401CB13,Ritika,Ritika@mycollege.in
1401CB14,Tanya,Tanya@mycollege.in
1401CB15,Nisha,Nisha@mycollege.in
1401CB16,Arun,Arun@mycollege.in
1401CB17,Pallavi,Pallavi@mycollege.in
1401CB18,Aniket,Aniket@mycollege.in
1401CB19,Nikita,Nikita@mycollege.in
1401CB20,Vijay,Vijay@mycollege.in
1401CB21,Ananya,Ananya@mycollege.in
1401CB22,Priyanshi,Priyanshi@mycollege.in
1401CB23,Suraj,Suraj@mycollege.in
1401CB24,Akshat,Akshat@mycollege.in
1401CB25,Ishika,Ishika@mycollege.in
1401CB26,Mohit,Mohit@mycollege.in
1401CB27,Palak,Palak@mycollege.in
1401CB28,Ankur,Ankur@mycollege.in
1401CB29,Richa,Richa@mycollege.in
1401CB30,Ravi,Ravi@mycollege.in
1401CB31,Arpit,Arpit@mycollege.in
1401CB32,Ankita,Ankita@mycollege.in
1401CB33,Shraddha,Shraddha@mycollege.in
1401CB34,Deepak,Deepak@mycollege.in
1401CB35,Priyanka,Priyanka@mycollege.in
1401CB36,Khushi,Khushi@mycollege.in
1401CB37,Shweta,Shweta@mycollege.in
1401CB38,Kavya,Kavya@mycollege.in
1401CB39,Kunal,Kunal@mycollege.in
1401CB40,Dheeraj,Dheeraj@mycollege.in
1401CB41,Akshita,Akshita@mycollege.in
1401CB42,Riya,Riya@mycollege.in
1401CB43,Sneha,Sneha@mycollege.in
1401CB44,Pranjal,Pranjal@mycollege.in
1401CB45,Isha,Isha@mycollege.in
1401CB46,Sumit,Sumit@mycollege.in
1401CB47,Kishan,Kishan@mycollege.in
1401CB48,Pawan,Pawan@mycollege.in
1401CB49,Soumya,Soumya@mycollege.in
1401CB50,Neelesh,Neelesh@mycollege.in
