Roll,Name,Email
1401CE01,Sarthak,Sarthak@mycollege.in
1401CE02,Alok,Alok@mycollege.in
1401CE03,Raghav,Raghav@mycollege.in
1401CE04,Rishi,Rishi@mycollege.in
1401CE05,Pragati,Pragati@mycollege.in
1401CE06,Shivam,Shivam@mycollege.in
1401CE07,Lakshya,Lakshya@mycollege.in
1401CE08,Ashish,Ashish@mycollege.in
1401CE09,Sandeep,Sandeep@mycollege.in
1401CE10,Ishita,Ishita@mycollege.in
1401CE11,Shaurya,Shaurya@mycollege.in
1401CE12,Kashish,Kashish@mycollege.in
1401CE13,Vineet,Vineet@mycollege.in
1401CE14,Mayank,Mayank@mycollege.in
1401CE15,Jyoti,Jyoti@mycollege.in
1401CE16,Parul,Parul@mycollege.in
1401CE17,Shambhavi,Shambhavi@mycollege.in
1401CE18,Anshu,Anshu@mycollege.in
1401CE19,Keshav,Keshav@mycollege.in
1401CE20,Prince,Prince@mycollege.in
1401CE21,Prakash,Prakash@mycollege.in
1401CE22,Pratibha,Pratibha@mycollege.in
1401CE23,Praveen,Praveen@mycollege.in
1401CE24,Priyanshu,Priyanshu@mycollege.in
1401CE25,Kshitij,Kshitij@mycollege.in
1401CE26,Arushi,Arushi@mycollege.in
1401CE27,Ishan,Ishan@mycollege.in
1401CE28,Garima,Garima@mycollege.in
1401CE29,Manish,Manish@mycollege.in
1401CE30,Vaishnavi,Vaishnavi@mycollege.in
1401CE31,Shreyansh,Shreyansh@mycollege.in
1401CE32,Atul,Atul@mycollege.in
1401CE33,Sarvesh,Sarvesh@mycollege.in
1401CE34,Vidya,Vidya@mycollege.in
1401CE35,Shubhangi,Shubhangi@mycollege.in
1401CE36,Mohsin,Mohsin@mycollege.in
1401CE37,Saran,Saran@mycollege.in
1401CE38,Vikash,Vikash@mycollege.in
1401CE39,Aayush,Aayush@mycollege.in
1401CE40,Akhilesh,Akhilesh@mycollege.in
1401CE41,Nitin,Nitin@mycollege.in
1401CE42,Himani,Himani@mycollege.in
1401CE43,Sushil,Sushil@mycollege.in
1401CE44,Vartika,Vartika@mycollege.in
1401CE45,Aviral,Aviral@mycollege.in
1401CE46,Abdul,Abdul@mycollege.in
1401CE47,Sumeet,Sumeet@mycollege.in
1401CE48,Prerna,Prerna@mycollege.in
1401CE49,Nupur,Nupur@mycollege.in
1401CE50,Neha,Neha@mycollege.in
1401CE51,Vikas,Vikas@mycollege.in
1401CE52,Vanshika,Vanshika@mycollege.in
1401CE53,Rohan,Rohan@mycollege.in
1401CE54,Shivansh,Shivansh@mycollege.in
1401CE55,Sunil,Sunil@mycollege.in
1401CE56,Juhi,Juhi@mycollege.in
