Roll,Name,Email
1401EC01,Sania,Sania@mycollege.in
1401EC02,Sangeeta,Sangeeta@mycollege.in
1401EC03,Nimish,Nimish@mycollege.in
1401EC04,Nimesh,Nimesh@mycollege.in
1401EC05,Prabhakar,Prabhakar@mycollege.in
1401EC06,Nivedita,Nivedita@mycollege.in
1401EC07,Neetika,Neetika@mycollege.in
1401EC08,Monu,Monu@mycollege.in
1401EC09,Pankhuri,Pankhuri@mycollege.in
1401EC10,Nilesh,Nilesh@mycollege.in
1401EC11,Mallika,Mallika@mycollege.in
1401EC12,Mahima,Mahima@mycollege.in
1401EC13,Mehak,Mehak@mycollege.in
1401EC14,Manshi,Manshi@mycollege.in
1401EC15,Prakhyat,Prakhyat@mycollege.in
1401EC16,Saket,Saket@mycollege.in
1401EC17,Rishika,Rishika@mycollege.in
1401EC18,Satvik,Satvik@mycollege.in
1401EC19,Sanskar,Sanskar@mycollege.in
1401EC20,Prateek,Prateek@mycollege.in
1401EC21,Prarthana,Prarthana@mycollege.in
1401EC22,Rekha,Rekha@mycollege.in
1401EC23,Pratham,Pratham@mycollege.in
1401EC24,Devanshu,Devanshu@mycollege.in
1401EC25,Devansh,Devansh@mycollege.in
1401EC26,Dolly,Dolly@mycollege.in
1401EC27,Dhruv,Dhruv@mycollege.in
1401EC28,Deeksha,Deeksha@mycollege.in
1401EC29,Bhavya,Bhavya@mycollege.in
1401EC30,Dev,Dev@mycollege.in
1401EC31,Deepali,Deepali@mycollege.in
1401EC32,Faizan,Faizan@mycollege.in
1401EC33,Khushboo,Khushboo@mycollege.in
1401EC34,Karishma,Karishma@mycollege.in
1401EC35,Madhuri,Madhuri@mycollege.in
1401EC36,Maaz,Maaz@mycollege.in
1401EC37,Jahnavi,Jahnavi@mycollege.in
1401EC38,Jahanvi,Jahanvi@mycollege.in
1401EC39,Kamran,Kamran@mycollege.in
1401EC40,Kamini,Kamini@mycollege.in
1401EC41,Rana,Rana@mycollege.in
1401EC42,Sidhi,Sidhi@mycollege.in
1401EC43,Hartesh,Hartesh@mycollege.in
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in
1401EC45,Nishtha,Nishtha@mycollege.in
1401EC46,Dilip,Dilip@mycollege.in
1401EC47,Ramanakanth,Ramanakanth@mycollege.in
1401EC48,Durgesh,Durgesh@mycollege.in
1401EC49,Dipa,Dipa@mycollege.in
1401EC50,Rohith,Rohith@mycollege.in
1401EC51,Jagadeesh,Jagadeesh@mycollege.in
1401EC52,Indu,Indu@mycollege.in
1401EC53,Shyam,Shyam@mycollege.in
1401EC54,Shreyas,Shreyas@mycollege.in
