Roll,Name,Email
1401MC01,Indra,Indra@mycollege.in
1401MC02,Sasi,Sasi@mycollege.in
1401MC03,Arvind,Arvind@mycollege.in
1401MC04,Kartik,Kartik@mycollege.in
1401MC05,Kartikeya,Kartikeya@mycollege.in
1401MC06,Chaitanya,Chaitanya@mycollege.in
1401MC07,Mani,Mani@mycollege.in
1401MC08,Sukirti,Sukirti@mycollege.in
1401MC09,Subodh,Subodh@mycollege.in
1401MC10,Surendra,Surendra@mycollege.in
1401MC11,Ashok,Ashok@mycollege.in
1401MC12,Suresh,Suresh@mycollege.in
1401MC13,Karthikeya,Karthikeya@mycollege.in
1401MC14,Lalit,Lalit@mycollege.in
1401MC15,Urmila,Urmila@mycollege.in
1401MC16,Sudhakar,Sudhakar@mycollege.in
1401MC17,Dhruva,Dhruva@mycollege.in
1401MC18,Dhananjay,Dhananjay@mycollege.in
1401MC19,Rama,Rama@mycollege.in
1401MC20,Raj,Raj@mycollege.in
1401MC21,Chinmay,Chinmay@mycollege.in
1401MC22,Chahat,Chahat@mycollege.in
1401MC23,Sourav,Sourav@mycollege.in
1401MC24,Desh,Desh@mycollege.in
1401MC25,Raashi,Raashi@mycollege.in
1401MC26,Ram,Ram@mycollege.in
1401MC27,Laxmi,Laxmi@mycollege.in
1401MC28,Krishan,Krishan@mycollege.in
1401MC29,Yatharth,Yatharth@mycollege.in
1401MC30,Mridul,Mridul@mycollege.in
1401MC31,Vinay,Vinay@mycollege.in
1401MC32,Sreekanth,Sreekanth@mycollege.in
1401MC33,Sweta,Sweta@mycollege.in
1401MC34,Thaanya,Thaanya@mycollege.in
1401MC35,Rakesh,Rakesh@mycollege.in
1401MC36,Pinky,Pinky@mycollege.in
1401MC37,Raju,Raju@mycollege.in
1401MC38,Rajiv,Rajiv@mycollege.in
1401MC39,Rajkumar,Rajkumar@mycollege.in
1401MC40,Pushkar,Pushkar@mycollege.in
1401MC41,Asutosh,Asutosh@mycollege.in
1401MC42,Pradip,Pradip@mycollege.in
1401MC43,Mrityunjay,Mrityunjay@mycollege.in
1401MC44,Kavish,Kavish@mycollege.in
1401MC45,Monica,Monica@mycollege.in
1401MC46,Sabareesh,Sabareesh@mycollege.in
1401MC47,Lakshmi,Lakshmi@mycollege.in
1401MC48,Love,Love@mycollege.in
1401MC49,Lekhraj,Lekhraj@mycollege.in
1401MC50,Sahil,Sahil@mycollege.in
1401MC51,Seshikanth,Seshikanth@mycollege.in
1401MC52,Kalpana,Kalpana@mycollege.in
1401MC53,Santosh,Santosh@mycollege.in
1401MC54,Kapil,Kapil@mycollege.in
1401MC55,Subash,Subash@mycollege.in
1401MC56,Raunak,Raunak@mycollege.in
1401MC57,Mangal,Mangal@mycollege.in
1401MC58,Tejas,Tejas@mycollege.in
1401MC59,Mayur,Mayur@mycollege.in
1401MC60,Ravisankar,Ravisankar@mycollege.in
1401MC61,Mahesh,Mahesh@mycollege.in
1401MC62,Mahato,Mahato@mycollege.in
1401MC63,Aaryan,Aaryan@mycollege.in
1401MC64,Manas,Manas@mycollege.in
1401MC65,Surbhi,Surbhi@mycollege.in
1401MC66,Deepshikha,Deepshikha@mycollege.in
1401MC67,Amar,Amar@mycollege.in
1401MC68,Anuj,Anuj@mycollege.in
1401MC69,Siddhesh,Siddhesh@mycollege.in
1401MC70,Venkata,Venkata@mycollege.in
1401MC71,Renu,Renu@mycollege.in
1401MC72,Farhan,Farhan@mycollege.in
1401MC73,Vignesh,Vignesh@mycollege.in
1401MC74,Abhimanyu,Abhimanyu@mycollege.in
1401MC75,Faraz,Faraz@mycollege.in
