Roll,Name,Email
1401AI01,Abhishek,Abhishek@mycollege.in
1401AI02,Aman,Aman@mycollege.in
1401AI03,Harsh,Harsh@mycollege.in
1401AI04,Ayush,Ayush@mycollege.in
1401AI05,Aditi,Aditi@mycollege.in
1401AI06,Anjali,Anjali@mycollege.in
1401AI07,Shubham,Shubham@mycollege.in
1401AI08,Anushka,Anushka@mycollege.in
1401AI09,Rohit,Rohit@mycollege.in
1401AI10,Saurabh,Saurabh@mycollege.in
1401AI11,Muskan,Muskan@mycollege.in
1401AI12,Rahul,Rahul@mycollege.in
1401AI13,Utkarsh,Utkarsh@mycollege.in
1401AI14,Vaibhav,Vaibhav@mycollege.in
1401AI15,Amit,Amit@mycollege.in
1401AI16,Saumya,Saumya@mycollege.in
1401AI17,Rishabh,Rishabh@mycollege.in
1401AI18,Shruti,Shruti@mycollege.in
1401AI19,Himanshu,Himanshu@mycollege.in
1401AI20,Kajal,Kajal@mycollege.in
1401AI21,Ankit,Ankit@mycollege.in
1401AI22,Gaurav,Gaurav@mycollege.in
1401AI23,Nikhil,Nikhil@mycollege.in
1401AI24,Siddharth,Siddharth@mycollege.in
1401AI25,Prashant,Prashant@mycollege.in
1401AI26,Priya,Priya@mycollege.in
1401AI27,Harshit,Harshit@mycollege.in
1401AI28,Shashank,Shashank@mycollege.in
1401AI29,Akash,Akash@mycollege.in
1401AI30,Varun,Varun@mycollege.in
1401AI31,Yash,Yash@mycollege.in
1401AI32,Shreya,Shreya@mycollege.in
1401AI33,Harshita,Harshita@mycollege.in
1401AI34,Anurag,Anurag@mycollege.in
1401AI35,Vivek,Vivek@mycollege.in
1401AI36,Swati,Swati@mycollege.in
1401AI37,Vishal,Vishal@mycollege.in
1401AI38,Aditya,Aditya@mycollege.in
1401AI39,Nidhi,Nidhi@mycollege.in
1401AI40,Ayushi,Ayushi@mycollege.in
1401AI41,Krishna,Krishna@mycollege.in
1401AI42,Anshika,Anshika@mycollege.in
1401AI43,Sakshi,Sakshi@mycollege.in
1401AI44,Shivani,Shivani@mycollege.in
1401AI45,Prakhar,Prakhar@mycollege.in
