Roll,Name,Email
1401CS01,Arpita,Arpita@mycollege.in
1401CS02,Divyanshi,Divyanshi@mycollege.in
1401CS03,Yogesh,Yogesh@mycollege.in
1401CS04,Deepika,Deepika@mycollege.in
1401CS05,Astha,Astha@mycollege.in
1401CS06,Sanjay,Sanjay@mycollege.in
1401CS07,Mahek,Mahek@mycollege.in
1401CS08,Narendra,Narendra@mycollege.in
1401CS09,Ekta,Ekta@mycollege.in
1401CS10,Adil,Adil@mycollege.in
1401CS11,Ritesh,Ritesh@mycollege.in
1401CS12,Bhumika,Bhumika@mycollege.in
1401CS13,Samriddhi,Samriddhi@mycollege.in
1401CS14,Anmol,Anmol@mycollege.in
1401CS15,Aayushi,Aayushi@mycollege.in
1401CS16,Akshay,Akshay@mycollege.in
1401CS17,Shekhar,Shekhar@mycollege.in
1401CS18,Amisha,Amisha@mycollege.in
1401CS19,Amrita,Amrita@mycollege.in
1401CS20,Sekhar,Sekhar@mycollege.in
1401CS21,Kundalik,Kundalik@mycollege.in
1401CS22,Durga,Durga@mycollege.in
1401CS23,Apurva,Apurva@mycollege.in
1401CS24,Alka,Alka@mycollege.in
1401CS25,Indora,Indora@mycollege.in
1401CS26,Aqsa,Aqsa@mycollege.in
1401CS27,Anwar,Anwar@mycollege.in
1401CS28,Apratim,Apratim@mycollege.in
1401CS29,Hasni,Hasni@mycollege.in
1401CS30,Dalia,Dalia@mycollege.in
1401CS31,Aadharsh,Aadharsh@mycollege.in
1401CS32,Amarnath,Amarnath@mycollege.in
1401CS33,Bramoni,Bramoni@mycollege.in
1401CS34,Nethaji,Nethaji@mycollege.in
1401CS35,Chetna,Chetna@mycollege.in
1401CS36,Aastha,Aastha@mycollege.in
1401CS37,Aakriti,Aakriti@mycollege.in
1401CS38,Abhyuday,Abhyuday@mycollege.in
1401CS39,Akarsh,Akarsh@mycollege.in
1401CS40,Navneet,Navneet@mycollege.in
1401CS41,Om,Om@mycollege.in
1401CS42,Swapnil,Swapnil@mycollege.in
1401CS43,Akhil,Akhil@mycollege.in
1401CS44,Madhav,Madhav@mycollege.in
1401CS45,Divyam,Divyam@mycollege.in
1401CS46,Kirti,Kirti@mycollege.in
1401CS47,Annanya,Annanya@mycollege.in
1401CS48,Arunima,Arunima@mycollege.in
1401CS49,Niteesh,Niteesh@mycollege.in
1401CS50,Nithisha,Nithisha@mycollege.in
1401CS51,Sandhya,Sandhya@mycollege.in
1401CS52,Uttam,Uttam@mycollege.in
1401CS53,Vatsalya,Vatsalya@mycollege.in
1401CS54,Aparna,Aparna@mycollege.in
1401CS55,Disha,Disha@mycollege.in
1401CS56,Seema,Seema@mycollege.in
1401CS57,Suryansh,Suryansh@mycollege.in
1401CS58,Yashaswi,Yashaswi@mycollege.in
1401CS59,Avinash,Avinash@mycollege.in
1401CS60,Smita,Smita@mycollege.in
1401CS61,Subhra,Subhra@mycollege.in
1401CS62,Tuhin,Tuhin@mycollege.in
1401CS63,Arti,Arti@mycollege.in
1401CS64,Aakash,Aakash@mycollege.in
1401CS65,Ayan,Ayan@mycollege.in
1401CS66,Aryan,Aryan@mycollege.in
1401CS67,Vertika,Vertika@mycollege.in
1401CS68,Umme,Umme@mycollege.in
1401CS69,Yukti,Yukti@mycollege.in
1401CS70,Vishesh,Vishesh@mycollege.in
1401CS71,Ayushman,Ayushman@mycollege.in
1401CS72,Geeta,Geeta@mycollege.in
1401CS73,Divyanshu,Divyanshu@mycollege.in
1401CS74,Jaswant,Jaswant@mycollege.in
1401CS75,Hemanshu,Hemanshu@mycollege.in
1401CS76,Bhoopendra,Bhoopendra@mycollege.in
1401CS77,Bhawana,Bhawana@mycollege.in
1401CS78,Divakar,Divakar@mycollege.in
1401CS79,Dimpal,Dimpal@mycollege.in
1401CS80,Shrestha,Shrestha@mycollege.in
1401CS81,Shivanshi,Shivanshi@mycollege.in
1401CS82,Shubh,Shubh@mycollege.in
1401CS83,Shreyash,Shreyash@mycollege.in
1401CS84,Satyarth,Satyarth@mycollege.in
1401CS85,Satyam,Satyam@mycollege.in
1401CS86,Shilpa,Shilpa@mycollege.in
1401CS87,Shikha,Shikha@mycollege.in
1401CS88,Soniya,Soniya@mycollege.in
1401CS89,Tanay,Tanay@mycollege.in
1401CS90,Sushant,Sushant@mycollege.in
1401CS91,Ujjwal,Ujjwal@mycollege.in
1401CS92,Tanu,Tanu@mycollege.in
1401CS93,Subham,Subham@mycollege.in
1401CS94,Srishti,Srishti@mycollege.in
1401CS95,Suryakant,Suryakant@mycollege.in
