Roll,Name,Email
1401AI01,Abhishek,Abhishek@mycollege.in
1401CB01,Mansi,Mansi@mycollege.in
1401CE01,Sarthak,Sarthak@mycollege.in
1401CH01,Nitesh,Nitesh@mycollege.in
1401CS01,Arpita,Arpita@mycollege.in
1401CT01,Sudhanshu,Sudhanshu@mycollege.in
1401EC01,Sania,Sania@mycollege.in
1401MC01,Indra,Indra@mycollege.in
1401MM01,Bilal,Bilal@mycollege.in
1401MT01,Mairaz,Mairaz@mycollege.in
1401AI02,Aman,Aman@mycollege.in
1401CB02,Tushar,Tushar@mycollege.in
1401CE02,Alok,Alok@mycollege.in
1401CH02,Ganesh,Ganesh@mycollege.in
1401CS02,Divyanshi,Divyanshi@mycollege.in
1401CT02,Shivang,Shivang@mycollege.in
1401EC02,Sangeeta,Sangeeta@mycollege.in
1401MC02,Sasi,Sasi@mycollege.in
1401MM02,Abhilash,Abhilash@mycollege.in
1401MT02,Abhilasha,Abhilasha@mycollege.in
1401AI03,Harsh,Harsh@mycollege.in
1401CB03,Abhinav,Abhinav@mycollege.in
1401CE03,Raghav,Raghav@mycollege.in
1401CH03,Naveen,Naveen@mycollege.in
1401CS03,Yogesh,Yogesh@mycollege.in
1401CT03,Shilpi,Shilpi@mycollege.in
1401EC03,Nimish,Nimish@mycollege.in
1401MC03,Arvind,Arvind@mycollege.in
1401MM03,Vaishali,Vaishali@mycollege.in
1401MT03,Mritunjay,Mritunjay@mycollege.in
1401AI04,Ayush,Ayush@mycollege.in
1401CB04,Shivangi,Shivangi@mycollege.in
1401CE04,Rishi,Rishi@mycollege.in
1401CH04,Shikhar,Shikhar@mycollege.in
1401CS04,Deepika,Deepika@mycollege.in
1401CT04,Sourabh,Sourabh@mycollege.in
1401EC04,Nimesh,Nimesh@mycollege.in
1401MC04,Kartik,Kartik@mycollege.in
1401MM04,Apoorva,Apoorva@mycollege.in
1401MT04,Mudit,Mudit@mycollege.in
1401AI05,Aditi,Aditi@mycollege.in
1401CB05,Ashutosh,Ashutosh@mycollege.in
1401CE05,Pragati,Pragati@mycollege.in
1401CH05,Jitendra,Jitendra@mycollege.in
1401CS05,Astha,Astha@mycollege.in
1401CT05,Sonu,Sonu@mycollege.in
1401EC05,Prabhakar,Prabhakar@mycollege.in
1401MC05,Kartikeya,Kartikeya@mycollege.in
1401MM05,Hemlata,Hemlata@mycollege.in
1401MT05,Mubasshira,Mubasshira@mycollege.in
1401AI06,Anjali,Anjali@mycollege.in
1401CB06,Adarsh,Adarsh@mycollege.in
1401CE06,Shivam,Shivam@mycollege.in
1401CH06,Chirag,Chirag@mycollege.in
1401CS06,Sanjay,Sanjay@mycollege.in
1401CT06,Shakti,Shakti@mycollege.in
1401EC06,Nivedita,Nivedita@mycollege.in
1401MC06,Chaitanya,Chaitanya@mycollege.in
1401MM06,Aanchal,Aanchal@mycollege.in
1401MT06,Goldy,Goldy@mycollege.in
1401AI07,Shubham,Shubham@mycollege.in
1401CB07,Divya,Divya@mycollege.in
1401CE07,Lakshya,Lakshya@mycollege.in
